"All","Tất Cả"
"I agree to the Conditions of Use and I understand and agree that my information will be used as described on this page and the ASICS Privacy Policy","Tôi đồng ý với Điều kiện sử dụng và tôi hiểu và đồng ý rằng thông tin của tôi sẽ được sử dụng như mô tả trên trang này và Chính sách quyền riêng tư của ASICS"
"You can pay using Master or Visa Credit Card","Bạn có thể thanh toán bằng Master hoặc Visa Credit Card"
"Billing address Use my delivery address","Địa chỉ thanh toán Sử dụng địa chỉ giao hàng của tôi"
"Online Payment","Thanh toán trực tuyến"
"Pay the cash to our logistic provider when you receive the delivery at your doorstep rather than paying in advance. The delivery address provided should be under serviceable network of our courier partner. Kindly provide accurate address and pin code. Only cash will be accepted by the delivery personal (Any other payment type will not be accepted)","Thanh toán tiền mặt cho nhà cung cấp dịch vụ hậu cần của chúng tôi khi bạn nhận hàng ngay trước cửa nhà thay vì trả trước. Địa chỉ giao hàng được cung cấp phải thuộc mạng lưới có thể sử dụng được của đối tác chuyển phát nhanh của chúng tôi. Vui lòng cung cấp địa chỉ chính xác và mã pin. Chỉ tiền mặt mới được chấp nhận bởi người giao hàng (Mọi hình thức thanh toán khác sẽ không được chấp nhận)"
"Thank you for your order","Cảm ơn bạn đã đặt hàng"
"If you have any additional questions or concerns, please feel free to contact us at","Nếu bạn có bất kỳ câu hỏi hoặc thắc mắc nào vui lòng liên hệ"
"Order Placed:","Đa đặt hang:"
"A confirmation email will be sent to","Một email xác nhận sẽ được gửi đến"
"You can further track this order from the <a href=""%1"">My Accounts</a> section","Bạn có thể cập nhật trạng thái đơn hàng ở phần <a href=""%1"">Tài khoản của tôi</a>"
"This wish list can be shared %1 more times.","Danh sách mong muốn này có thể được chia sẻ thêm %1 lần nữa."
"Installment available","trả góp có sẵn"
"Installment: up to 10months, as low as $699.00 per month","Trả góp: tối đa 10 tháng, thấp nhất là $699,00 mỗi tháng"
"Buy One nimbus 19, get one half-off","Mua một chiếc nimbus 19, được giảm một nửa"
"Online Banking","Ngân hàng trực tuyến"
"Installment Plans","Gói trả góp"
"Note: You will be re-directed to a payment gateway page to complete your purchase.""","Lưu ý: Bạn sẽ được chuyển hướng đến trang cổng thanh toán để hoàn tất giao dịch mua của mình."""
"Create your ASICS ID","Tạo ID ASICS của bạn"
"Already Registered? Sign in","Đã đăng ký? Đăng nhập"
"ONITSUKA TIGER IS A REGISTERED TRADEMARK OF ASICS CORPORATION","ONITSUKA TIGER LÀ NHÃN HIỆU ĐÃ ĐĂNG KÝ CỦA ASICS CORPORATION"
"By registering I accept the terms and conditions of ASICS","Bằng cách đăng ký, tôi chấp nhận các điều khoản và điều kiện của ASICS"
"Installment plans are available for your order","Kế hoạch trả góp có sẵn cho đơn đặt hàng của bạn"
"Standard","Tiêu chuẩn"
"STANDARD","TIÊU CHUẨN"
STANDARD,TIÊU CHUẨN
standard,Tiêu chuẩn
"standard","Tiêu chuẩn"
"wide","rộng"
"extra wide","rộng thêm"
"women running shoes","giày chạy bộ nữ"
"My Saved Cart","Giỏ hàng đã lưu của tôi"
"My Saved Addresses","Địa chỉ đã lưu của tôi"
"You have no items in your wishlist. ","Bạn không có sản phẩm nào trong Danh sách Yêu thích của bạn. "
"Start adding!","Bắt đầu thêm vào!"
"Qty to be returned","Số lượng được trả lại",
"Select item to return","Chọn hàng để trả lại"
"Please Select Condition for","Vui lòng chọn Điều kiện cho"
"Please Ignore {0} characters.","Vui lòng bỏ qua {0} ký tự."
"Please Ignore %1 characters.","Vui lòng bỏ qua %1 ký tự."
"Please select valid date","Vui lòng chọn ngày hợp lệ"
"You must confirm your account. Please check your email for the confirmation link or <a href="%1">click here</a> for a new link.","Bạn phải xác nhận tài khoản của bạn. Vui lòng kiểm tra email của bạn để thấy liên kết xác nhận hoặc <a href="%1"> bấm vào đây</a> để nhận một liên kết mới."
You must confirm your account. Please check your email for the confirmation link or <a href="%1">click here</a> for a new link.,Bạn phải xác nhận tài khoản của bạn. Vui lòng kiểm tra email của bạn để thấy liên kết xác nhận hoặc <a href="%1"> bấm vào đây</a> để nhận một liên kết mới.
" You must confirm your account. Please check your email for the confirmation link or <a href="%1">click here</a> for a new link.,"Bạn phải xác nhận tài khoản của bạn. Vui lòng kiểm tra email của bạn để thấy liên kết xác nhận hoặc <a href="%1"> bấm vào đây</a> để nhận một liên kết mới."
 You must confirm your account. Please check your email for the confirmation link or <a href="%1">click here</a> for a new link.,Bạn phải xác nhận tài khoản của bạn. Vui lòng kiểm tra email của bạn để thấy liên kết xác nhận hoặc <a href="%1"> bấm vào đây</a> để nhận một liên kết mới.
"You must confirm your account. Please check your email for the confirmation link or <a href=%1"">click here</a> for a new link.","Bạn phải xác nhận tài khoản của bạn. Vui lòng kiểm tra email của bạn để thấy liên kết xác nhận hoặc <a href="%1"> bấm vào đây</a> để nhận một liên kết mới."
"Invalid login or password.","Invalid email or password.</br>","Đăng nhập hoặc mật khẩu không hợp lệ.","Email hoặc mật khẩu không hợp lệ.</br>"
"Order Status:","Trạng thái đơn hàng:"
"Order Status","Trạng thái đơn hàng"
"Once payment is confirmed, a confirmation email will be sent to","Sau khi thanh toán được xác nhận, một email xác nhận sẽ được gửi đến"
"If you have any additional questions or concerns, please feel free to contact us at <a href="mailto:%store_email">%store_email</a>.","Nếu bạn có thêm bất kỳ câu hỏi hoặc thắc mắc nào, vui lòng liên hệ với chúng tôi tại <a href="mailto:%store_email">%store_email</a>."
"Your order is pending payment processing.","Đơn đặt hàng của bạn đang chờ xử lý thanh toán."
"Order Method:","Hình thức đặt hàng:"
"Order Method","Hình thức đặt hàng:"
"Promotion Discount:","Giảm giá:"
"Promotion Discount","Giảm giá:"
"SEARCH...","Tìm kiếm..."
"SHOPPING BAG","TÚI MUA SẮM"
"LOGIN / REGISTER","ĐĂNG NHẬP / ĐĂNG KÝ"
"E-mail Address","Địa chỉ email"
"FLAGSHIP STORE","cửa hàng hàng"
"%terms months (%amount / month)","%kỳ hạn tháng (%số tiền / tháng)"
"Minimum order value is %amount","Giá trị đơn hàng tối thiểu là % số tiền"
"Are you sure you want to delete this card?","Bạn có chắc chắn muốn xóa thẻ này không?"
"True Money Phone Number","Tiền thật Số điện thoại"
"Siam Commercial Bank","Ngân hàng thương mại siam"
"Bangkok Bank","ngân hàng Bangkok"
"Kasikorn Bank","Ngân hàng Kasikorn"
"First Choice","Lựa chọn đầu tiên"
"Krungthai Card","Thẻ Krungthai"
"Option available only for orders in THB","Tùy chọn chỉ có sẵn cho các đơn đặt hàng bằng THB"
"Option available only for orders in SGD","Tùy chọn chỉ có sẵn cho các đơn đặt hàng bằng SGD"
"Tesco Lotus Payment","Thanh toán hoa sen Tesco"
"To finish payment, print the code below and bring it to make payment in any Tesco Lotus Store. Code is valid for the next <b>24 hours only</b>. After that time your order will be canceled","Để hoàn tất thanh toán, hãy in mã bên dưới và mang mã đến để thanh toán tại bất kỳ Cửa hàng Tesco Lotus nào. Mã chỉ có hiệu lực trong <b>24 giờ tiếp theo</b>. Sau thời gian đó đơn hàng của bạn sẽ bị hủy"
"PayNow QR Code","Mã QR PayNow"
"Payment Instructions","Hướng dẫn thanh toán"
"Please follow the link to find payment instructions","Vui lòng theo liên kết để tìm hướng dẫn thanh toán"
"Amount to pay","Số tiền phải trả"
"You have no stored cards.","Bạn không có thẻ lưu trữ."
"Stored Credit/Debit Cards","Thẻ tín dụng/thẻ ghi nợ được lưu trữ"
"Clear Filter","Xóa bộ lọc"
"Be the first to hear about new products, exclusive events and online offers.","Hãy là người đầu tiên biết về sản phẩm mới, sự kiện độc quyền và ưu đãi trực tuyến."
"BAG","Giỏ hàng"
"STORE","Cửa hàng"
"Please click Update Shopping Cart to confirm the change","Vui lòng bấm Cập nhật giỏ hàng để xác nhận thay đổi"
"All returned item(s) must be in their original condition and packaging, and sent back to us within 14 days of receiving your order.","Tất cả (các) mặt hàng được trả lại phải ở trong tình trạng và bao bì ban đầu và được gửi lại cho chúng tôi trong vòng 14 ngày kể từ ngày nhận được đơn đặt hàng của bạn."
"We have a 7 days return policy from the date of receiving your ordered goods.","Chúng tôi có chính sách hoàn trả trong 7 ngày kể từ ngày nhận được hàng đã đặt của bạn."
"Please note that we accept all items except all sale items, socks, and innerwear items, with original tags and in their original packaging.","Xin lưu ý rằng chúng tôi chấp nhận tất cả các mặt hàng ngoại trừ tất cả các mặt hàng giảm giá, tất và các mặt hàng nội y, còn nguyên tem mác và bao bì gốc."
"Total Due(Inclusive of VAT):","Tổng số tiền phải trả (Đã bao gồm VAT):"
"Subtotal(Inclusive of VAT):","Tạm tính (bao gồm VAT):"
Subtotal (Inclusive of VAT),Tạm tính (bao gồm VAT)
"Subtotal (Inclusive of VAT)","Tạm tính (bao gồm VAT)"
"Store Returns (For Click & Collect orders)","Trả lại hàng tại cửa hàng (Đối với đơn hàng Nhấp và Thu thập)"
"Paste the pre-paid return shipping label that is include with your order, and drop it off at any post office or POPStation.","Dán nhãn vận chuyển trả lại trả trước đi kèm với đơn đặt hàng của bạn và gửi nó tại bất kỳ bưu điện hoặc POPStation nào."
"Please allow at least 15 working days to process your refunds.","Vui lòng chờ ít nhất 15 ngày làm việc để xử lý các khoản tiền hoàn lại của bạn."
"You have the right to cancel and return your order within 7 days of receiving your ordered goods.","Bạn có quyền hủy và trả lại đơn đặt hàng trong vòng 7 ngày kể từ ngày nhận được hàng đã đặt."
"First, agree to the terms and conditions, then try placing your order again.","Trước tiên, hãy đồng ý với các điều khoản và điều kiện, sau đó thử đặt hàng lại."
"The order wasn't placed. ","Đơn hàng chưa được đặt."
"Please Select Reason for","Vui lòng chọn lý do cho mỗi sản phẩm"
"You have successfully signed up to receive ASICS newsletters.","Bạn đã đăng ký thành công để nhận bản tin ASICS."
"Please accept the Return Policy","Vui lòng chấp nhận Chính Sách Trả Hàng trước khi gửi yêu cầu"
"Items were not selected","Một số mặt hàng có thể không đủ điều kiện trả hàng"
"I confirm that the product is unused and with original tags intact.","Tôi xác nhận rằng sản phẩm chưa được sử dụng và còn nguyên nhãn mác."
"Original mode of payment","Phương thức thanh toán ban đầu"
"Additional remarks","Nhận xét bổ sung"
"Order Return","Trả lại đơn hàng"
"You need to agree with the ASICS terms and conditions.","Bạn cần đồng ý với các điều khoản và điều kiện của ASICS."
"Create new return request","Tạo yêu cầu trả hàng mới"
"Return All","Trả lại tất cả"
"If you have opted for guest checkout, please email %1 to process your returns.","Nếu bạn đã chọn thanh toán với tư cách khách, vui lòng gửi email cho %1 để xử lý hàng trả lại của bạn."
"Please allow at least %1 working days to process your refunds.","Vui lòng cho phép ít nhất %1 ngày làm việc để xử lý các khoản tiền hoàn lại của bạn."
"You have the right to cancel and return your order within %1 days of receiving your ordered goods.","Bạn có quyền hủy và trả lại đơn đặt hàng của mình trong vòng %1 ngày kể từ khi nhận được hàng đã đặt."
"We will contact you thereafter to arrange for a pick up of your order.","Chúng tôi sẽ liên hệ với bạn sau đó để sắp xếp nhận đơn đặt hàng của bạn."
"Reason Code","Nguyên mã"
"Return Quantity","số lượng trả lại"
"Return(Please Tick)","Trả lại (Vui lòng đánh dấu)"
"Gross Amount:","Tổng số tiền:"
"Total Due(Inclusive of %1):","Tổng số tiền phải trả (Bao gồm %1):"
"Cart Discount:","Giảm giá giỏ hàng:"
"Subtotal (Inclusive of %1):","Tổng phụ (Bao gồm %1):"
"Please reject shipment(s) if packaging has signs of severe damage such as torn packaging","Vui lòng từ chối (các) lô hàng nếu bao bì có dấu hiệu thiệt hại nghiêm trọng như bao bì rách"
"*Note: You may receive your order in multiple shipments","*Lưu ý: Bạn có thể nhận được đơn đặt hàng của mình trong nhiều lô hàng"
"Item Description","Mô Tả Hàng Hóa"
"Product No","Sản phẩm số"
"Change of mind","Thay đổi tâm trí"
"Defective item sent","Mục bị lỗi đã gửi"
"Wrong item sent","Sai mục Gửi"
"Parcel damaged on arrival","Bưu kiện bị hư hại khi đến nơi"
"Not as described","Không giống như miêu tả"
"Not as pictured","Không như hình"
"Unhappy with material","Không hài lòng với tài liệu"
"Unhappy with quality","Không hài lòng với chất lượng"
"Size too small","Kích thước quá nhỏ"
"Sire too big","Sire quá lớn"
"You will need to fill in the above Return Form and hand it over to the store in order to process your return.","Bạn sẽ cần điền vào biểu mẫu trả lại ở trên và trao nó cho cửa hàng để xử lý lợi nhuận của bạn."
"You will need to fill in the above Return Form and insert it into your return parcel.","Bạn sẽ cần điền vào biểu mẫu trả lại trên và chèn nó vào bưu kiện trả lại của bạn."
"Please note that an online return request form has to be raised in order to process your return.","Xin lưu ý rằng một biểu mẫu yêu cầu trả lại trực tuyến phải được nêu ra để xử lý lợi nhuận của bạn."
"Postal Returns (For Home Delivery orders)","Trả lại bưu điện (cho đơn đặt hàng giao hàng tận nhà)"
"RETURN FORM","MẪU TRẢ LẠI"
"Tax Invoice Date","Ngày hóa đơn thuế"
"Tax Invoice No","Hóa đơn thuế số"
"Invoice No","Hóa đơn không có"
"Order No","Đặt hàng không"
"ORDER DETAILS","Chi tiết đặt hàng"
"Order Details","Chi tiết đặt hàng"
Order Details,Chi tiết đặt hàng
"SHIPPING METHOD","PHƯƠNG PHÁP VẬN CHUYỂN"
"Shipping Method","Phương Thức Vận Chuyển"
"TAX INVOICE / RECEIPT","Hóa đơn / Biên nhận thuế"
"Change Email and Password","Thay đổi email và mật khẩu"
"don't have an id?","Bạn chưa có tài khoản?"
"Do you want to remove the address?","Bạn có muốn xóa địa chỉ không?"
"Save & Continue","Lưu và tiếp tục"
"Subtotal  (Inclusive of GST)","SUPTOTAL (Bao gồm GST)"
"Subtotal  (Exclusive of GST)","SUPTOTAL (ĐỘC QUYỀN GST)"
"Thank You","Cảm ơn"
"*Highlighted fields are mandatory.","*Các trường nổi bật là bắt buộc."
"I have read the <a href='%1'>privacy policy</a> and agree with it upon clicking the Submit button.","Tôi đã đọc chính sách bảo mật <a href='%1'> </a> và đồng ý với nó khi nhấp vào nút Gửi"
"You must be at least sixteen (16) years of age to subscribe","Bạn phải ít nhất mười sáu (16) tuổi để đăng ký"
"Sign up for our newsletter and receive 10% off your first purchase.","Đăng ký nhận bản tin của chúng tôi và nhận được 10% cho lần mua đầu tiên của bạn."
"I have read the <a href=""%1"">Onitsuka Tiger terms and conditions</a> and I agree with it.","Tôi đã đọc và đồng ý với <a href=""%1"">Các điều khoản và điều kiện của Onitsuka Tiger</a>."
"create an id","tạo một id"
"Order Subtotal","Đặt hàng tổng phụ"
"Get updates about your Order status. Enter your Order ID and Email.","Theo dõi trạng thái đơn hàng của bạn Vui lòng nhập Mã đơn hàng và Email để nhận thông tin cập nhật."
"I would like to receive communications from ONITSUKA TIGER - including for exclusive member services, events, and gear. I have read , understood and agree to the applicable <a href='%1'>Privacy Policy</a>","Tôi muốn nhận thông tin liên lạc từ Onitsuka Tiger - bao gồm các dịch vụ, sự kiện và thiết bị độc quyền. Tôi đã đọc, hiểu và đồng ý với <a href='%1'>chính sách bảo mật</a>"
"Receive special offers & the latest exclusive news about Onitsuka Tiger products.","Nhận ưu đãi đặc biệt và tin tức độc quyền mới nhất về các sản phẩm của Onitsuka Tiger."
"You have placed no return request","Bạn chưa tạo yêu cầu trả hàng"
"You have placed no return request.","Bạn chưa tạo yêu cầu trả hàng"
You have placed no return request,Bạn chưa tạo yêu cầu trả hàng
"You can also leave a comment","Bạn cũng có thể để lại ý kiến"
"You can also leave a comment.","Bạn cũng có thể để lại ý kiến"
"My Returns Requests","Yêu Cầu Trả Hàng Của Tôi"
"There are no Shipping Addresses saved for this account.","Không có địa chỉ vận chuyển được lưu cho tài khoản này."
"Empty Saved Address","Địa chỉ lưu trống"
"Default Shipping Address","Địa chỉ vận chuyển mặc định"
"NEWSLETTER","BẢN TIN"
"Contact Information","Thông tin liên lạc"
"By signing up for ASICS ID you are agreeing to the <a href=""{{terms_url}}"" rel=""nofollow"">terms and conditions</a>. You can read about our privacy policy <a href=""{{privacy_url}}"" rel=""nofollow"">here</a>.","Bằng cách đăng ký ASICS ID, bạn đồng ý với <a href=""{{terms_url}}"" rel=""nofollow"">các điều khoản và điều kiện</a>. Bạn có thể đọc về chính sách quyền riêng tư của chúng tôi <a href=""{{privacy_url}}"" rel=""nofollow"">tại đây</a>."
"We need your date of birth to generate personalized training plans for you.","Chúng tôi cần ngày sinh của bạn để tạo các kế hoạch đào tạo được cá nhân hóa cho bạn."
"Must be at least 8 characters","Phải có ít nhất 8 ký tự"
"Enter your information to help us tailor gear and services for you.","Nhập thông tin của bạn để giúp chúng tôi điều chỉnh thiết bị và dịch vụ cho bạn."
"Welcome to the best of everything","Chào mừng bạn đến với mọi thứ tốt nhất"
"{{.Name}} was successfully created","{{.Name}} đã được tạo thành công"
"You can now login to all ASICS services with your new password.","Bây giờ bạn có thể đăng nhập vào tất cả các dịch vụ ASICS bằng mật khẩu mới của mình."
"Someone – probably you – has requested to reset the password for your ASICS ID. If you want to reset your password, please click on the button below.","Ai đó – có thể là bạn – đã yêu cầu đặt lại mật khẩu cho ID ASICS của bạn. Nếu bạn muốn đặt lại mật khẩu của mình, vui lòng nhấp vào nút bên dưới."
"Reset your ASICS ID password","Đặt lại mật khẩu ID ASICS của bạn"
"Note: If this email was sent in error, just ignore it. You don't need to take any action, none of your data will be changed.","Lưu ý: Nếu email này được gửi do lỗi, chỉ cần bỏ qua nó. Bạn không cần thực hiện bất kỳ hành động nào, dữ liệu của bạn sẽ không bị thay đổi."
"Welcome! Your ASICS account registration is almost complete. Click the button below to create your password and you'll be all set.","Chào mừng! Việc đăng ký tài khoản ASICS của bạn gần như đã hoàn tất. Nhấp vào nút bên dưới để tạo mật khẩu của bạn và bạn sẽ hoàn tất."
"We joined the ASICS family to better pursue our mission of getting the whole world running and provide our community with access to industry-leading training plans and exclusive offers.<br /><br />OneASICS is a single sign-on that will seamlessly link your accounts across the ASICS brand family.","Chúng tôi đã gia nhập gia đình ASICS để theo đuổi tốt hơn sứ mệnh giúp cả thế giới vận hành và cung cấp cho cộng đồng của chúng tôi quyền truy cập vào các kế hoạch đào tạo hàng đầu trong ngành và các ưu đãi độc quyền.<br /><br />OneASICS là dịch vụ đăng nhập một lần sẽ hoạt động liền mạch liên kết các tài khoản của bạn trên toàn bộ dòng thương hiệu ASICS."
"Your key to gear and services from the entire ASICS family","Chìa khóa của bạn để tiếp cận thiết bị và dịch vụ từ toàn bộ gia đình ASICS"
"One account. OneASICS. <br /><br />One simple way to move across the entire ASICS family. Plus, it’s your key to exclusive discounts, products, events, and more.","Một tài khoản. OneASICS. <br /><br />Một cách đơn giản để di chuyển trên toàn bộ gia đình ASICS. Ngoài ra, đó là chìa khóa để bạn nhận được các khoản chiết khấu, sản phẩm, sự kiện độc quyền, v.v."
"One account. <br /><br />One simple way to move across the entire ASICS family.","Một tài khoản. <br /><br />Một cách đơn giản để di chuyển trên toàn bộ gia đình ASICS."
"Why ASICS ID? This is because we are a part of the ASICS family and the ID is a unified way to move across all ASICS companies with brands such as:","Tại sao lại là ID ASICS? Điều này là do chúng tôi là một phần của gia đình ASICS và ID là một cách thống nhất để di chuyển trên tất cả các công ty ASICS với các thương hiệu như:"
"Get Started","Bắt đầu"
"You appear to have already created an account. Please check your email for a password reset link.","Có vẻ như bạn đã tạo một tài khoản. Vui lòng kiểm tra email của bạn để biết liên kết đặt lại mật khẩu."
"Already have an account?","Bạn co sẵn sàng để tạo một  khoản?"
"Thanks for logging in with {{third_party}}.<br />Please complete your registration by filling out the fields below.","Cảm ơn bạn đã đăng nhập bằng {{third_party}}.<br />Vui lòng hoàn tất đăng ký của bạn bằng cách điền vào các trường bên dưới."
"We will email you occasionally with the latest news about the products, services, online tools, events and promotions of our brands (ASICS, ASICS Tiger, Onitsuka Tiger, Haglöfs and Runkeeper). To understand what is relevant to you we use automatic tools to analyze your personal data. For more information see our privacy policy.","Thỉnh thoảng, chúng tôi sẽ gửi email cho bạn những tin tức mới nhất về sản phẩm, dịch vụ, công cụ trực tuyến, sự kiện và chương trình khuyến mãi của các thương hiệu của chúng tôi (ASICS, ASICS Tiger, Onitsuka Tiger, Haglöfs và Runkeeper). Để hiểu những gì liên quan đến bạn, chúng tôi sử dụng các công cụ tự động để phân tích dữ liệu cá nhân của bạn. Để biết thêm thông tin, xem chính sách bảo mật của chúng tôi."
"I would like to receive newsletters and information about products, services and events by e-mail, tailored to my interests and preferences, as described in the <a href=""{{privacy_url}}"" target=""_blank"">Privacy Policy</a>.","Tôi muốn nhận các bản tin và thông tin về sản phẩm, dịch vụ và sự kiện qua e-mail, phù hợp với sở thích và sở thích của tôi, như được mô tả trong <a href=""{{privacy_url}}"" target=""_blank"" >Chính sách bảo mật</a>."
"Sign Up with Google","Đăng ký với Google"
"Sign Up with Facebook","Đăng ký với Facebook"
"Select your country","Chọn đất nước của bạn"
"By creating an ASICS account, I confirm that I have read and understand the applicable <a href=""{{privacy_url}}"" target=""_blank"">Privacy Policy</a> and that I agree to Runkeeper <a href=""{{terms_url}}"" target=""_blank"">Terms and Conditions</a>.","Bằng cách tạo tài khoản ASICS, tôi xác nhận rằng tôi đã đọc và hiểu <a href=""{{privacy_url}}"" target=""_blank"">Chính sách quyền riêng tư</a> hiện hành và tôi đồng ý với Runkeeper < a href=""{{terms_url}}"" target=""_blank"">Điều khoản và Điều kiện</a>."
"ASICS requires this information so that we may provide our services to you and communicate with you. We will handle your personal data in accordance with our <a href=""{{privacy_url}}"" target=""_blank"">privacy policy.</a>","ASICS yêu cầu thông tin này để chúng tôi có thể cung cấp dịch vụ của chúng tôi cho bạn và liên lạc với bạn. Chúng tôi sẽ xử lý dữ liệu cá nhân của bạn theo <a href=""{{privacy_url}}"" target=""_blank"">chính sách bảo mật của chúng tôi.</a>"
"Tailor Gear and Services For:","Thiết bị và dịch vụ may đo dành cho:"
"We sent you a confirmation email, please check your inbox.","Chúng tôi đã gửi cho bạn một email xác nhận, vui lòng kiểm tra hộp thư đến của bạn."
"New Account Created","Tài khoản mới được tạo"
"By registering I accept the <a href=""{{terms_url}}"" target=""_blank"">terms & conditions</a> of ASICS","Bằng cách đăng ký, tôi chấp nhận <a href=""{{terms_url}}"" target=""_blank"">điều khoản & điều kiện</a> của ASICS"
"By creating an ASICS account, I confirm that I have read and understand the applicable <a href=""{{privacy_url}}"" target=""_blank"">Privacy Policy</a> and that I agree to Haglöfs <a href=""{{terms_url}}"" target=""_blank"">Terms and Conditions</a>.","Bằng cách tạo tài khoản ASICS, tôi xác nhận rằng tôi đã đọc và hiểu <a href=""{{privacy_url}}"" target=""_blank"">Chính sách quyền riêng tư</a> hiện hành và tôi đồng ý với Haglöfs < a href=""{{terms_url}}"" target=""_blank"">Điều khoản và Điều kiện</a>."
"Please select your date of birth.","Vui lòng chọn ngày sinh của bạn."
"Please select your country.","Vui lòng chọn đất nước của bạn."
"Sorry, but an email is required to create an ASICS ID and there is no email associated with your Facebook account. Please choose an alternative method.","Xin lỗi, nhưng cần có email để tạo ID ASICS và không có email nào được liên kết với tài khoản Facebook của bạn. Vui lòng chọn một phương pháp thay thế."
"The password field is empty.","Trường mật khẩu trống."
"The family name field is empty.","Trường tên gia đình trống."
"The first name field is empty.","Trường tên trống."
"The email field is empty.","Trường email trống."
"Please accept our terms & conditions and privacy policy.","Vui lòng chấp nhận các điều khoản & điều kiện và chính sách bảo mật của chúng tôi."
"By creating an ASICS account, I confirm that I have read and understand the applicable <a href=""{{privacy_url}}"" target=""_blank"">Privacy Policy</a> and that I agree to ASICS Studio <a href=""{{terms_url}}"" target=""_blank"">Terms and Conditions</a>","Bằng cách tạo tài khoản ASICS, tôi xác nhận rằng tôi đã đọc và hiểu <a href=""{{privacy_url}}"" target=""_blank"">Chính sách quyền riêng tư</a> hiện hành và tôi đồng ý với ASICS Studio <a href=""{{terms_url}}"" target=""_blank"">Điều khoản và điều kiện</a>"
"Thank you for registering your ASICS ID. Click below to complete your registration.","Cảm ơn bạn đã đăng ký ID ASICS của mình. Nhấp vào bên dưới để hoàn thành đăng ký của bạn."
"Please confirm your email address","Vui lòng xác nhận địa chỉ email của bạn"
"Please confirm you email address","Vui lòng xác nhận địa chỉ email của bạn"
"No transactions found in the selected time duration.","Không tìm thấy giao dịch nào trong khoảng thời gian đã chọn."
"Please sign in to update your profile.","Vui lòng đăng nhập để cập nhật hồ sơ của bạn."
"Edit Profile","Chỉnh sửa hồ sơ"
"The password must have at least 8 characters","Mật khẩu phải có ít nhất 8 ký tự"
"The password must have at most 72 characters.","Mật khẩu phải có nhiều nhất 72 ký tự."
"Please select your gender.","Vui lòng chọn giới tính của bạn."
"Invalid email or password","Email hoặc mật khẩu không hợp lệ"
"The email is invalid","Email không hợp lệ"
"Please verify that you used your correct birthday","Vui lòng xác minh rằng bạn đã sử dụng đúng ngày sinh của mình"
"Internal server error","Lỗi máy chủ nội bộ"
"You are ineligible to register for ASICS ID.","Bạn không đủ điều kiện để đăng ký ASICS ID."
"You appear to have already created an account, please <a href=""{{login_url}}"">sign in</a> instead.","Có vẻ như bạn đã tạo một tài khoản, vui lòng <a href=""{{login_url}}"">đăng nhập</a> để thay thế."
"For security reasons your account is temporarily locked.","Vì lý do bảo mật, tài khoản của bạn tạm thời bị khóa."
"User not found","Không tìm thấy người dùng"
"The password must have at least 6 characters.","Mật khẩu phải có ít nhất 6 ký tự."
"Please verify that you used your correct birthday.","Vui lòng xác minh rằng bạn đã sử dụng ngày sinh chính xác của mình."
"You appear to have already created an account, please sign in.","Có vẻ như bạn đã tạo một tài khoản, vui lòng đăng nhập."
"Notification Queues","hàng đợi thông báo"
"Select an Option","Chọn một Tùy chọn"
"Notification Status","Trạng thái thông báo"
"No migration users to show.","Không có người dùng di chuyển để hiển thị."
"Migration Users","Người dùng di chuyển"
"Receive News Letter","Nhận bản tin"
"Migrate From","Di chuyển từ"
"You've logged out of OneAsics","Bạn đã đăng xuất khỏi OneAsics"
"You've logged out of ASICS ID","Bạn đã đăng xuất khỏi ASICS ID"
"You're signed in!","Bạn đã đăng nhập!"
"<p>That email was registered using a password.</p><p>Please confirm your password to connect your account with {{third_party}}</p>","<p>Email đó đã được đăng ký bằng mật khẩu.</p><p>Vui lòng xác nhận mật khẩu của bạn để kết nối tài khoản của bạn với {{third_party}}</p>"
"<p>We have an account with this email address that is currently linked using {{origin}}.</p><p>Would you like to also link this account using {{new_type}} or retry your login using {{origin}}?</p>","<p>Chúng tôi có một tài khoản với địa chỉ email này hiện được liên kết bằng {{origin}}.</p><p>Bạn cũng muốn liên kết tài khoản này bằng {{new_type}} hoặc thử đăng nhập lại bằng {{origin}}?</p>"
""The password field is empty. <a href=""{{forgetPasswordUrl}}"">Click here</a> to reset your password.",""Trường mật khẩu trống. <a href=""{{forgetPasswordUrl}}"">Nhấp vào đây</a> để đặt lại mật khẩu của bạn."
"This account was created without a password. Please check your email for a password reset link.","Tài khoản này được tạo mà không cần mật khẩu. Vui lòng kiểm tra email của bạn để biết liên kết đặt lại mật khẩu."
"<p>We have an account with this email address that is currently linked using {{origin}}.</p><p>Would you like to also link this account using {{new_type}} or retry your login using {{origin}}?</p>","<p>Chúng tôi có một tài khoản với địa chỉ email này hiện được liên kết bằng {{origin}}.</p><p>Bạn cũng muốn liên kết tài khoản này bằng {{new_type}} hoặc thử đăng nhập lại bằng {{origin}}?</p>"
"That email is already associated with a {{third_party}} sign in.","Email đó đã được liên kết với thông tin đăng nhập {{third_party}}."
"Connect Account to {{third_party}}","Kết nối tài khoản với {{third_party}}"
"Need an ASICS account?","Cần một tài khoản ASICS?"
"Account is linked to {{third_party}}","Tài khoản được liên kết với {{third_party}}"
"Waiting for {{third_party}} login…","Đang chờ đăng nhập {{third_party}}…"
"You created your account with {{third_party}}. Please Login in with {{third_party}}.","Bạn đã tạo tài khoản của mình với {{third_party}}. Vui lòng Đăng nhập bằng {{third_party}}."
